id,name,description,stock
251,MLED-C/REMOTO-RGB,Kit Controlador para Efectos de Luz para Tiras y Módulos RGB,186
252,MLED-CONTROL-CCT-127V,Control CCT,1330
253,MLED-CONTROL-RGB-127V,Control RGBW,984
254,MLED-GF,Grapa de plástico flexible para todo tipo de tira flexible,44767
255,MLEDK-30-IP68-12V/RGB,Kit con tira flexible de LED 5050 SMD 12V IP68 RGB -KIT,39
256,MLED-NEON-1,Cable alimentador con convertidor de corriente ca-cd 127V para manguera LED NEON,1130
257,MLED-NEON-10-127V/BC,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 10 m""",569
258,MLED-NEON-20-127V/AZ,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",6
259,MLED-NEON-20-127V/BC,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",216
260,MLED-NEON-20-127V/LD,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",1
261,MLED-NEON-20-127V/RO,"""""Manguera flexible 72 LEDs x metro, 5050 SMD NEON, exterior 20 m""",17
262,MLED-NEON-3,Conector medio en I para manguera LED NEON,619
263,MLED-NEON-5,Conector esquina flexible para mangura LED NEON,36
264,MLED-NEON-6,Tapa fin plástica para manguera LED NEON,191
265,MLED-NEON-7,Tubo plástico termo-contráctil 5 cm. para manguera LED NEON,2275
266,MLED-NEON-8,100cm aluminium profile,364
267,MODLED-3P-5050/BC,"""""20 módulos lineales de plástico ABS con 3 LED 5050 SMD integrados, 12V IP65 Blanco Cálido - 20 pzs""",1
268,MR16L-LED/001/30,LAMP LED MR16 6W100-240V3000K550LM,20
269,ORIZZONTE-10M,PERFIL 10M SUSPENDIDO PARA TIRA LED,17
270,ORIZZONTE-15M,PERFIL 15M SUSPENDIDO PARA TIRA LED,7
271,ORIZZONTE-5M,PERFIL 5M SUSPENDIDO PARA TIRA LED,11
272,OU2009GBCB,WALKLIGHT LED 1.5W 3000K 127-220V GRIS,13
273,PEGASI-VII-BN-BC,Luminario arbotante de tamaño corto en color blanco con iluminación blanco calido,9
274,PEGASI-VII-BN-LD,Luminario arbotante de tamaño corto en color blanco con iluminación luz de día,7
275,PEGASI-VII-CH-BC,Luminario arbotante de tamaño corto en color champagne con iluminación blanco calido,5
276,PEGASI-VII-CH-LD,Luminario arbotante de tamaño corto en color champagne con iluminación luz de día,5
277,PEGASI-VII-GR-BC,Luminario arbotante de tamaño corto en color gris con iluminación blanco calido,5
278,PEGASI-VII-GR-LD,Luminario arbotante de tamaño corto en color gris con iluminación luz de día,5
279,PEGASI-VII-MN-BC,Luminario arbotante de tamaño corto en color madera nogal con iluminación blanco calido,11
280,PEGASI-VII-MN-LD,Luminario arbotante de tamaño corto en color madera nogal con iluminación luz de día,11
281,PEGASI-VII-MO-BC,Luminario arbotante de tamaño corto en color madera obscura con iluminación blanco calido,7
282,PEGASI-VII-MO-LD,Luminario arbotante de tamaño corto en color madera obscura con iluminación luz de día,7
283,PEGASI-VII-NG-BC,Luminario arbotante de tamaño corto en color negro con iluminación blanco calido,12
284,PEGASI-VII-NG-LD,Luminario arbotante de tamaño corto en color negro con iluminación luz de día,12
285,PL-100-AL,Perfil lineal con disipador de calor y cubierta PC,4
286,PL-200-1111-3,Grapa para perfil miniatura para esquina,9
287,PL-200-1111-AL,Perfil miniatura para esquina,8
288,PL-200-13519-AL,Perfil lineal de aluminio para incrustar en enjarre con difusor,95
289,PL-200-16019-BL,Perfil lineal de aluminio empotrado en plafon con difusor,10
290,PL-200-1716-4,Iman circular de sujecion para perfil,19
291,PL-200-1806-1,Tapa para perfil flexible con salida,17
292,PL-200-1806-3,Grapa de sujecion para perfil flexible,240
293,PL-200-1806-4,Accesorio de union perfill a perfil,61
294,PL-200-1815-AL,Perfil lineal con cobertura de medio circulo,1
295,PL-200-1908-1,Tapa final para perfil DE ALUMINIO empotrado en piso sin salida,1033
296,PL-200-1908-2,Tapa final para perfil DE ALUMINIO empotrado en piso CON salida,3343
297,PL-200-1908-3,GRAPA DE MONTAJE para perfil DE ALUMINIO empotrado en piso,6054
298,PL-200-1908-AL,Perfil lineal de aluminio empotrado en piso con difusor,1
299,PL-200-1913-4,Iman de sujecion para perfil todas las versiones,578
300,PL-200-1913A-PCNG,Cobertura version A para perfil 1913 lisa en negro,3
301,PL-200-1919U-2,Tapa final para perfil de aluminio para esquina sin salida,1
302,PL-200-1919U-3,Clip de montaje para perfil de aluminio para esquina,776
303,PL-200-1930-3,Accesorio de soporte final,1083
304,PL-200-1970-1,Tapa final para perfil DE ALUMINIO empotrado DE LUZ INDIRECTA CON salida,1693
305,PL-200-1970-2,Tapa final para perfil DE ALUMINIO empotrado DE LUZ INDIRECTA SIN salida,1669
306,PL-200-1970-AL,Perfil lineal de aluminio para luz indirecta sin difusor,285
307,PL-200-2020-1,Tapa final para perfil de plastico circular SIN salida,154
308,PL-200-2020-2,Tapa final para perfil de plastico circular con salida,11
309,PL-200-2020-PP,Perfil lineal de plastico circular,96
310,PL-200-2319-PP,Perfil lineal de plastico para sobreponer,101
311,PL-200-2416-1,Tapa final para perfil rectangular con salida,44
312,PL-200-2416-2,Tapa final para perfil rectangular sin salida,73
313,PL-200-2416-3,Grapa de Sujecion para perfil rectangular,1444
314,PL-200-2416-4,Iman circular de sujecion para perfil rectangular,407
315,PL-200-2416-6,Conector a 90 en vertical para perfil rectangular,193
316,PL-200-2416-7,Conector a 90 para perfil rectangular,1
317,PL-200-2416-8,Conector a 45 en horizontal para perfil rectangular,208
318,PL-200-2416-9,Concetor a 45 para perfil,195
319,PL-200-2416-NG,Perfil rectangular lineal para empotrar en negro,29
320,PL-200-3031-1,Tapa final para perfil de plastico para esquina SIN salida,11
321,PL-200-3031-PP,Perfil lineal de plastico para esquinas,24
322,PL-200-5252-3,Soporte para perfil tipo barandal,447
323,PL-200-5252-4,Conector a 90 grados para perfil tipo barandal,30
324,PL-200-5252-5,Conector a desnivel para perfil tipo barandal,29
325,PL-200-5252-6,Conector a 135 grados para perfil tipo barandal,23
326,PL-200-5252-7,Conector recto para perfil tipo barandal,56
327,PL-200-5252-AL,Perfil lineal de aluminio tipo barandal,7
328,PL-200-5252-BC,Perfil lineal de aluminio tipo barandal blanco,35
329,PL-200-5252-BC3,Soporte blanco para perfil tipo barandal,258
330,PL-200-5252-BC4,Conector blanco a 90 grados para perfil tipo barandal,12
331,PL-200-5252-BC5,Conector blanco a desnivel para perfil tipo barandal,12
332,PL-200-5252-BC6,Conector blanco a 135 grados para perfil tipo barandal,12
333,PL-200-5252-BC7,Conector blanco recto para perfil tipo barandal,12
334,PL-200-5252-NG,Perfil lineal de aluminio tipo barandal negro,2
335,PL-200-5252-NG3,Soporte negro para perfil tipo barandal,770
336,PL-200-5252-NG4,Conector negro a 90 grados para perfil tipo barandal,33
337,PL-200-5252-NG5,Conector negro a desnivel para perfil tipo barandal,32
338,PL-200-5252-NG6,Conector negro a 135 grados para perfil tipo barandal,14
339,PL-200-5252-NG7,Conector negro recto para perfil tipo barandal,64
340,PL-200-6319-AL,Perfil lineal de aluminio para empotrar en muro,239
341,PL-200-7024-1,Tapa final para perfil de aluminio modular sin salida,3
342,PL-200-7024-2,Tapa final para perfil de aluminio modular con salida,4
343,PL-ACC-CN,Accesorio para Conexión,250
344,PL-ACC-CN-2,Accesorio de conexion,35
345,PL-ACC-MO,Accesorio para montaje sobrepuesto de perfil,165
346,PL-ACC-SP,Accesorio para suspender Perfil,184
347,PL-ACC-UN,Accesorio para Union entre perfiles,248
348,PL-ACC-UNL,L de conexion 60 grados,129
349,PL-ACC-UNX,Accesorio de conexion en X de 30 a 150 grados,95
350,PL-ACC-UNY,Y de conexion 120 grados,118
351,PL-ACC-UN-YM,Accesorio de conexion en Y de 30 a 150 grados,73
352,PL-L-AL,Conexion en L para perfil,74
353,PL-L-AL-2,Conexion en L,92
354,PL-LE-AL,Conexión en L externa para Perfil,22
355,PL-LE-AL-2,Conexion en L externa,98
356,PL-LE-NG-2,Conexion en L externa en Negro,51
357,PL-LI-AL,Conexión en L interna para Perfil,3
358,PL-LI-AL-2,Conexion en L interna,98
359,PL-LI-NG-2,Conexion en L interna en Negro,23
360,PL-L-NG-2,Conexion en L en Negro,1
361,PLMX-200-1806-AL,Perfil lineal de aluminio flexible en color aluminio,105
362,PLMX-250-1806-3,Juego de tapas finales para perfil flexible en gris,156
363,PLMX-250-1806-4,Grapa para perfil lineal flexible,369
364,PLMX-250-1806-AL,Perfil lineal de aluminio flexible en color aluminio,3
365,PLMX-250-1913-S-AL,Perfil lineal de aluminio para sobreponer en color aluminio,422
366,PLMX-250-1913-S-ALB,Perfil lineal de aluminio para sobreponer en color brillante natural,81
367,PLMX-250-1913-S-BN,Perfil lineal de aluminio para sobreponer en color blanco,37
368,PLMX-250-1913-S-CH,Perfil lineal de aluminio para sobreponer en color champagne,47
369,PLMX-250-1913-S-GR,Perfil lineal de aluminiopara sobreponer en color gris,84
370,PLMX-250-1913-S-MN,Perfil lineal de aluminio para sobreponer en color madera nogal,71
371,PLMX-250-1913-S-MO,Perfil lineal de aluminio para sobreponer en color madera obscura,85
372,PLMX-250-1913-S-NBR,Perfil lineal de aluminio para sobreponer en color negro brillante,8
373,PLMX-250-1913-S-NG,Perfil lineal de aluminio para sobreponer en color negro,4
374,PLMX-250-1913-S-NR,Perfil lineal de aluminio para sobreponer en color negro rugoso,54
375,PLMX-250-1A-G,Juego de tapas para perfil para cubierta A en gris,355
376,PLMX-250-1C-G,Juego de tapas para perfil para cubierta C en gris,492
377,PLMX-250-1R-G,Juego de tapas para perfil para cubierta R en gris,233
378,PLMX-250-2,Accesorio de conexión a 90° horizontal,132
379,PLMX-250-2212-2,Juego de 3 grapas de sujeción para perfil 2212,877
380,PLMX-250-2212-4,Juego de tapas fin para perfil de empotrar en gris,821
381,PLMX-250-2212-AL,"""""Perfil lineal de aluminio, para empotrar en piso color aluminio""",3127
382,PLMX-250-2613-AL,Perfil lineal de aluminio para empotrar en color  aluminio,2558
383,PLMX-250-2613-NG,Perfil lineal de aluminio para empotrar en color negro,89
384,PLMX-250-3,Accesorio de conexión a 90° vertical,296
385,PLMX-250-4,Accesorio de conexión a 45° horizontal,564
386,PLMX-250-5,Accesorio de conexión a 45° vertical,328
387,PLMX-250-6113-AL,Perfil lineal de aluminio para empotrar en tablaroca en color aluminio,14
388,PLMX-250-8452-11,Accesorio de unión para perfil multiusos a 45° en vertical,181
389,PLMX-250-8452-4,Accesorio de unión para perfil multiusos a 180°,207
390,PLMX-250-8452-5,Accesorio de unión para perfil multiusos a 90°,196
391,PLMX-250-8452-6,Accesorio de unión para perfil multiusos a 60°,93
392,PLMX-250-8452-7,Accesorio de unión para perfil multiusos a 45°,140
393,PLMX-250-8452-AL,Perfil lineal multiusos en color aluminio,558
394,PLMX-250-8452-BN,Perfil lineal multiusos en color blanco,115
395,PLMX-250-8452-C2,Cubierta antideslumbrante para perfil multiusos,235
396,PLMX-250-8452-NG,Perfil lineal multiusos en color negro,171
397,PLMX-250-A-PC,Cubierta para perfil lisa,102
398,PLMX-250-C-PC,Cubierta para perfil de medio circulo,709
399,PLMX-250-R-PC,Cubierta para perfil rectangular,306
400,PLMX-ACC-SP,Accesorio para suspender perfil,262
401,PL-T-AL,Conexión en T para perfil,20
402,PL-T-AL-2,Conexion en T,87
403,PL-TF-AL,Tapa fin para perfil,1608
404,PL-TF-AL-2,Tapa fin para perfil,5
405,PL-T-NG-2,Conexion en T en negro,50
406,PL-X-AL,Conexión en X para Perfil,75
407,PL-X-AL-2,Conexion en X,69
408,PL-X-NG-2,Conexion en X en negro,48
409,PP-TK-LED,placa con pegamento para tk-led-2x3w,10
410,PROD_ROLLO_SMART_FILM,Metros de rollo de pelicula inteligente cambia transparencia,50
411,REFLED-C/17W/30/N,Reflector cuadrado LED 3000K 17W IP65,217
412,REFLED-COB-35W-IP66-BS,REFLECTOR DE ALTA POTENCIA BLUE SKY,75
413,REFLED-COB-35W-IP66-GY,REFLECTOR DE ALTA POTENCIA GOLDEN YELLOW,99
414,REGLED-15W-TLED-1800k,Regleta tipo tira LED,29
415,REGLED-15W-TLED-3000k,Regleta tipo tira LED,79
416,REGLED-15W-TLED-6500k,Regleta tipo tira LED,80
417,REGLED-40W-RGBW,REGLETA RGBW CONTROLABLE,363
418,REGLED-48W/30/N,Regleta para Bañar Pared 48W blanco calido,15
419,S14/LED/1W/127V/2200K,Blister 2pzs Bulbo 1W E-27 blanco calido,26746
420,S14-LED-E27-1W/BC-24,"S14 Pack24pzs led Bulbo de filamento, 1W, cubierta de plastico transparente",4786
421,SB-TL-CT,SENSOR ALIMENTADO POR BATERIAS CON TIRA LED DE UN METRO,579
422,SER-IP44-E27-24W-LEDS14,Serie Led decorativa para exteriores 24 bombillas base E27,13258
423,SM-16F,Sensor de movimiento infrarrojo 180° IP44,10
424,SM-16F-S,Sensor movimiento 180 grados infrarrojo multiposición IP44,5417
425,SM-16F-S/2-PACK,2pack - Sensor movimiento 180 grados infrarrojo multiposición IP44,2
426,SM-22-N,Sensor movimiento 180 grados infrarrojo switch para pared,3428
427,SM-22-N/2-PACK,2Pack - Sensor movimiento 180 grados infrarrojo switch para pared,2
428,SM-360-1S,Sensor de movimiento Infrarojo 360º c/un sensor,1
429,SM-360-1S-N,Sensor movimiento 360grados infrarrojo con sensor para sobreponer en techo,14554
430,SM-360-1S-N/3-PACK,3Pack - Sensor movimiento 360grados infrarrojo con sensor para sobreponer en techo,2
431,SM-360-MINI,SENSOR DE MOVIMIENTO MINIATURA,110
432,SM-360-MINI/4-PACK,4 pack SENSOR DE MOVIMIENTO MINIATURA,2
433,SM-360-TS-N,Sensor movimiento 360 grados infrarrojo con triple sensor para sobreponer en techo,7842
434,SM-360-TS-N/2-PACK,2Pack - Sensor movimiento 360 grados infrarrojo con triple sensor para sobreponer en techo,2
435,SM-BDL-01,SENSOR DE MOVIMIENTO CON TIRA LED,414
436,SM-BDL-02,SENSOR DE MOVIMIENTO CON TIRA LED,108
437,SM-LN-BAT/4-Pack,4-Pack SENSOR DE MOVIMIENTO CON LUZ DE NOCHE RECARGABLE,16448
438,SM-MO-360,Sensor de movimiento de microondas 360°,1
439,SM-MO-360-S,Sensor movimiento 360grados de microondas para sobreponer en techo,2937
440,SODI-2PK-PL-1930-TF,2 PACK TAPAS FIN PARA PERFIL 1930 DE CLOSET CON Y SIN SALIDA,29
441,SODI-2PK-PL-2319-TF,2 PACK TAPAS FIN PARA PERFIL 2319 DE PLASTICO PARA SOBREPONER CON Y SIN SALIDA,50
442,SODI-5PK-PL-1716-GP,5 PACK GRAPAS DE SUJECION PARA PERFIL 17161,150
443,SODI-5PK-PL-1908-GP,5 PACK GRAPA DE MONTAJE PARA PERFIL 1908 DE ALUMINIO EMPOTRADO EN PISO,100
444,SODI-5PK-PL-3031-GP,5 PACK GRAPA DE MONTAJE PARA PERFIL 3031 DE PLASTICO PARA ESQUINA,50
445,SPI-16S+M16S,Controlador Chaising,856
446,SR-2006,Dimmer bajo voltaje de 0 a 10V,45
447,SR-2102B,DECODIFICADOR DMX512 DE BAJO VOLTAJE,332
448,SR-2812-US3,PANEL TOCUH PARA CONTOL DE DISPOSITIVOS DMX512,50
449,SR-2834B-DMX,PANEL TOCUH DUAL PARA CONTOL DE DISPOSITIVOS DMX512,86
450,SR-3001,REPETIDOR DE SEÑAL PARA TIRAS DE BAJO VOLTAJE,498
451,T8IC-LED-18W/BN,tubo T8 led de 18W,505
452,T8IC-LED-18W/LD,tubo T8 led de 18W,327
453,TCHK-LED-5050/RGB,Kit con tira digital flexible de LED 5050 SMD 12V IP45 RGB-CHASING,54
454,TCH-LED-5050/RGB,"""""Tira flexible 30 LEDs x metro, 5050 SMD, exterior""",97
455,TI4.8W25-CON24W,Kit de tira vintage con convertidor de corriente,2
456,TI4.8WAZ-CON24W,Kit de tira azul con convertidor de corriente,1
457,TI4.8WLD-CON24W,"""""Tira Led de 5 Metros, para interior Luz de día""",2
458,TI4.8WVE-CON24W,Kit de tira verde con convertidor de corriente,2
459,TL-CI-3M,KIT DE TIRA LED DE 3 MTS,1809
460,TL-CM-5M,TIRA CON CONTROLADOR DE TEMPERATURA DE COLOR DE 5M.,148
461,TLED-168-2110/3000K,"""""Tira flexibe 168 LEDs x metro, 2110 SMD, interior """,1489
462,TLED-168-2110/4000K,Tira flexible de led 2110 de 4mm 4000k 24V,652
463,TLED-168-2110/6000K,"""""Tira flexibe 168 LEDs x metro, 2110 SMD, interior """,114
464,TLED-2110-24V-1,Conector de presion para tira 2110,645
465,TLED-240-2110-24V/1800K,Tira flexible de LED 2110 SMD IP20 24V 5 metros 1800K,127
466,TLED-240-2110-24V/6000K,Tira flexible de LED 2110 SMD IP20 24V 5 metros 6000K,1
467,TLED-240-2110-IP66/1800K,Tira flexible de led 2110 SMD IP66 24V 5mts 1800k,313
468,TLED-240-2110-IP66/6000K,Tira flexible de LED 2110 SMD IP66 24V 5 metros 6000K,293
469,TLED-240-2216/BC,Tira flexible de LED 2216 SMD 12V Blanco Calido,3
470,TLED-240-2216/BN,Tira flexible de LED 2216 SMD 12V Blanco Neutro,2
471,TLED-240-2216/LD,Tira flexible de LED 2216 SMD 12V Luz de Dia,63
472,TLED-280-2110/1800K,"""""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior 1800K""",609
473,TLED-280-2110/3000K,"""""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior BC""",732
474,TLED-280-2110/4000K,"""""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior BN""",864
475,TLED-280-2110/6000K,"""""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior LD""",972
476,TLED-280-2110/DUAL,"""""Tira flexible 280 LEDs x metro, 2110 SMD, 24V, interior""",244
477,TLED-280-2110-IP66-BC,"""""Tira flexible 280 LEDs, 2110 SMD, 24V, exterior""",344
478,TLED-280-2110-IP66-BN,"""""Tira flexible 280 LEDs, 2110 SMD, 24V, exterior""",490
479,TLED-2835-IP66-SS,"""""Tira flexible 60 LEDs x metro, 2835 SMD, exterior""",428
480,TLED-30-5050/RGB,"""""Tira flexible 30 LEDs x metro, 5050 SMD, interior""",1787
481,TLED-30-IP68-12V/RGB,"""""Tira flexible 30 LEDs x metro, 5050 SMD, sumergible""",304
482,TLED-60-IP67-RGBW/BC,"""""Tira flexible 60 LEDs x metro, 5050 SMD, exterior""",456
483,TLED-60-IP67-RGBW/LD,"""""Tira flexible 60 LEDs x metro, 5050 SMD, exterior""",13
484,TLED-COB-10W/BC,"""""Tira flexible 480 LEDs x metro, LED COB,  interior""",1952
485,TLED-COB-10W/BN,"""""Tira flexible 480 LEDs x metro, LED COB,  interior""",2783
486,TLED-COB-10W/LD,"""""Tira flexible 480 LEDs x metro, LED COB,  interior""",398
487,TLED-COB-15W/RGB,"Tira RGB flexible 420 LEDs x metro, LED COB,  interior",565
488,TLED-CON-H,Conector para conexiones en paralelo,1056
489,TLED-CON-T,Conector para conexiones en serie,459
490,TLLED-401/5.5W/30B,NTERIOR ARBOTANTES LED5.5W100-240V3000K,14
491,TL-RGB-1M,TIRA LED RGB DE 1.5 M CON SENSOR DE MOVIMIENTO,511
492,TL-RGB-2M,Tira Led RGB de 3 Metros con Sensor de movimiento,1022
493,TL-RGB-CI,TIRA LED RGB CON CONTROLADOR DE INFRAROJO,4833
494,TL-RGBW-CI,Tira RGBW Controlada Mediante Infrarrojo,1694
495,TM-100/FR,TecnoModul de 60 LED 5050 SMD 12V 4000K 100cm Cubierta Aperlada,30
496,TME-1,Cable alimentador con clavija,244
497,TME-2,Conector esquina 50 cms,773
498,TME-3,Conector esquina 100 cms,162
499,TME-5,Grapa Plastica,4157
500,TME-5050-IP65-100/LD,Barra rigida Plastico 100 cms de LED 5050 SMD 127V IP65 Luz de Día,379
501,TME-5050-IP65-50/LD,Barra rigida Plastico 50 cms de LED 5050 SMD 127V IP65 Luz de Día,460
502,TME-6,Tapa Fin,12
503,TSM-007/LED-S,Arbotante con sensor de movimiento PIR,1556
504,TSM-010-SOL,ARBOTANTE DE LED SOLAR CON SENSOR DE MOVIMIENTO,499
505,TT-158,Temporizador (Timer) Digital p/interior Doble contacto,3421
506,TT-158/2-PACK,2Pack - Temporizador (Timer) Digital p/interior Doble contacto,2
507,TTM-158,Temporizador (Timer) Mecanico p/interior Doble contacto,3575
508,TTM-158/2-PACK,2Pack - Temporizador (Timer) Mecanico p/interior Doble contacto,2
509,TTME-158,Temporizador (Timer) Mecanico IP63,733
510,TTME-158/2-PACK,2Pack - Temporizador (Timer) Mecanico IP63,2
511,USB-POP-C/BN,CARGADOR USB TIPO POP-UP EN COLOR BLANCO,468
512,USB-POP-C/NG,CARGADOR USB TIPO POP-UP EN COLOR NEGRO,433
513,USB-POP-C/SS,CARGADOR USB TIPO POP-UP EN COLOR METAL,468
514,VISTACAM700-SL-100,Cámara HD Horus,86
515,WIFI-101-CT,CONTROLADOR WIFI DE TEMPERATURA DUAL,1
516,YD-339/B,INTERIOR EMPOTRADOS S/L100-240/12VGX5.3,32
517,YRD226-NR-619,Cerrojo Real Living Niquel Satinado,1
518,YRL221,Manija Real Living YRL221,2
519,YRL221-Z,Manija Real Living YRL221 + Modulo Z-Wave,1
520,ZD-2102US-5,Sensor de Puerta/ Ventana Horus,1152
521,ZP-3102US-5,Sensor de Movimiento Horus,823
522,ZW080-A17,Sirena Horus,121
523,ZW095,Medidor de Energia Trifasico Aeotec,4
524,ZW32,Toma Corriente Horus,372
525,ZwaveMX89522,Módulo Z-Wave Plus Assure & Real Living 2,99
526,ZXT-600-US,Termostato para Minisplit v2,178
